movie_id,title,genres,directors,actors,overview,vote_average
19,Ace Ventura: When Nature Calls,"['Adventure', 'Comedy', 'Crime']",['Steve Oedekerk'],"['Jim Carrey', 'Ian McNeice', 'Simon Callow']","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",6.4
20,Money Train,"['Action', 'Comedy', 'Crime']",['Joseph Ruben'],"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']","A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",5.7
21,Get Shorty,"['Comedy', 'Crime', 'Thriller']",['Barry Sonnenfeld'],"['Gene Hackman', 'Rene Russo', 'Danny DeVito']",A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.,6.9
22,Copycat,"['Drama', 'Mystery', 'Thriller']",['Jon Amiel'],"['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney']",A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,6.6
23,Assassins,"['Action', 'Crime', 'Thriller']",['Richard Donner'],"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,6.3
24,Powder,"['Drama', 'Fantasy', 'Mystery']",['Victor Salva'],"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']",An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,6.6
25,Leaving Las Vegas,"['Drama', 'Romance']",['Mike Figgis'],"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",7.5
26,Othello,"['Drama', 'Romance']",['Oliver Parker'],"['Laurence Fishburne', 'Kenneth Branagh', 'Irène Jacob']","The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",6.8
27,Now and Then,"['Comedy', 'Drama', 'Romance']",['Lesli Linka Glatter'],"['Christina Ricci', 'Demi Moore', ""Rosie O'Donnell""]",Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at 12 years could possibly have become the women they are now.,6.8
28,Persuasion,"['Drama', 'Romance']",['Roger Michell'],"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood']",Theatrical film of Persuasion with Ciaran Hinds &amp; Amanda Root. Directed by Roger Michell.,7.7
29,The City of Lost Children,"['Adventure', 'Drama', 'Fantasy']","['Marc Caro', 'Jean-Pierre Jeunet']","['Ron Perlman', 'Daniel Emilfork', 'Judith Vittet']","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",7.5
30,Shanghai Triad,"['Crime', 'Drama', 'History']",['Yimou Zhang'],"['Gong Li', 'Baotian Li', 'Xiaoxiao Wang']",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,7.1
31,Dangerous Minds,"['Biography', 'Drama']",['John N. Smith'],"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']","LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.",6.5
32,12 Monkeys,"['Mystery', 'Sci-Fi', 'Thriller']",['Terry Gilliam'],"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",8.0
34,Babe,"['Comedy', 'Drama', 'Family']",['Chris Noonan'],"['James Cromwell', 'Magda Szubanski', 'Christine Cavanaugh']","Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...",6.9
36,Dead Man Walking,"['Crime', 'Drama']",['Tim Robbins'],"['Susan Sarandon', 'Sean Penn', 'Robert Prosky']","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",7.5
38,It Takes Two,"['Comedy', 'Family', 'Romance']",['Andy Tennant'],"['Kirstie Alley', 'Steve Guttenberg', 'Mary-Kate Olsen']","Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",6.0
39,Clueless,"['Comedy', 'Romance']",['Amy Heckerling'],"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",6.9
40,"Cry, the Beloved Country","['Drama', 'Thriller']",['Darrell Roodt'],"['Richard Harris', 'James Earl Jones', 'Vusi Kunene']","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",6.8
41,Richard III,"['Drama', 'Sci-Fi', 'War']",['Richard Loncraine'],"['Ian McKellen', 'Annette Bening', 'Christopher Bowen']",The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,7.3
42,Dead Presidents,"['Action', 'Crime', 'Drama']","['Albert Hughes', 'Allen Hughes']","['Larenz Tate', 'Keith David', 'Chris Tucker']","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",6.9
43,Restoration,"['Biography', 'Drama', 'History']",['Michael Hoffman'],"['Robert Downey Jr.', 'Sam Neill', 'David Thewlis']","The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",6.6
44,Mortal Kombat,"['Action', 'Adventure', 'Fantasy']",['Paul W.S. Anderson'],"['Christopher Lambert', 'Robin Shou', 'Linden Ashby']",Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.,5.8
45,To Die For,"['Comedy', 'Crime', 'Drama']",['Gus Van Sant'],"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']",A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,6.8
46,How to Make an American Quilt,"['Comedy', 'Drama', 'Romance']",['Jocelyn Moorhouse'],"['Winona Ryder', 'Ellen Burstyn', 'Anne Bancroft']",Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,6.3
47,Se7en,"['Crime', 'Drama', 'Mystery']",['David Fincher'],"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",8.6
48,Pocahontas,"['Animation', 'Adventure', 'Drama']","['Mike Gabriel', 'Eric Goldberg']","['Mel Gibson', 'Linda Hunt', 'Christian Bale']",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,6.7
49,When Night Is Falling,"['Drama', 'Romance']",['Patricia Rozema'],"['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny']","An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",6.5
50,The Usual Suspects,"['Crime', 'Drama', 'Mystery']",['Bryan Singer'],"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,8.5
52,Mighty Aphrodite,"['Comedy', 'Fantasy', 'Romance']",['Woody Allen'],"['Woody Allen', 'Mira Sorvino', 'Pamela Blair']","When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",7.0
53,Lamerica,"['Comedy', 'Drama']",['Gianni Amelio'],"['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani']","Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets...",7.4
54,The Big Green,"['Comedy', 'Family', 'Sport']",['Holly Goldberg Sloan'],"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']","A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",5.5
55,Georgia,"['Drama', 'Music']",['Ulu Grosbard'],"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine']",Sadie is desperately looking up to her older sister Georgia who is a famous C&amp;W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,6.5
57,Home for the Holidays,"['Comedy', 'Drama', 'Romance']",['Jodie Foster'],"['Holly Hunter', 'Anne Bancroft', 'Robert Downey Jr.']","After being fired, making out with her soon-to-be ex-boss, and discovering that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces the unenviable task of spending the holiday with her exceedingly dul...",6.6
58,The Postman,"['Biography', 'Comedy', 'Drama']","['Michael Radford', 'Massimo Troisi']","['Massimo Troisi', 'Philippe Noiret', 'Maria Grazia Cucinotta']","A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",7.8
60,The Indian in the Cupboard,"['Drama', 'Family', 'Fantasy']",['Frank Oz'],"['Hal Scardino', 'Litefoot', 'Lindsay Crouse']","Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.",6.0
61,Eye for an Eye,"['Crime', 'Drama', 'Thriller']",['John Schlesinger'],"['Sally Field', 'Kiefer Sutherland', 'Ed Harris']","When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",6.2
62,Mr. Holland's Opus,"['Drama', 'Music']",['Stephen Herek'],"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']",A frustrated composer finds fulfillment as a high school music teacher.,7.3
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['Comedy', 'Crime']",['Paris Barclay'],"['Shawn Wayans', 'Marlon Wayans', 'Keenen Ivory Wayans']","A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",6.5
64,Two If by Sea,"['Comedy', 'Crime', 'Romance']",['Bill Bennett'],"['Sandra Bullock', 'Denis Leary', 'Stephen Dillane']","A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.",5.3
65,Bio-Dome,['Comedy'],['Jason Bloom'],"['Pauly Shore', 'Stephen Baldwin', 'William Atherton']","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",4.4
66,Lawnmower Man 2: Beyond Cyberspace,"['Action', 'Sci-Fi', 'Thriller']",['Farhad Mann'],"['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien""]","They thought they had destroyed him, but the simple gardener-turned-superkiller has found a way to reboot himself in Lawnmower Man 2: Beyond Cyberspace.",2.6
68,French Twist,"['Comedy', 'Drama', 'Romance']",['Josiane Balasko'],"['Victoria Abril', 'Josiane Balasko', 'Alain Chabat']","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",6.4
69,Friday,"['Comedy', 'Drama']",['F. Gary Gray'],"['Ice Cube', 'Chris Tucker', 'Nia Long']","It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",7.2
70,From Dusk Till Dawn,"['Action', 'Crime', 'Horror']",['Robert Rodriguez'],"['Harvey Keitel', 'George Clooney', 'Juliette Lewis']","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",7.2
71,Fair Game,"['Action', 'Romance', 'Thriller']",['Andrew Sipes'],"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']","Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",4.4
72,Kicking and Screaming,"['Comedy', 'Drama', 'Romance']",['Noah Baumbach'],"['Josh Hamilton', 'Eric Stoltz', 'Samuel Gould']","A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",6.7
73,Les Misérables,"['Comedy', 'Drama', 'History']",['Claude Lelouch'],"['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines']",A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.,7.4
74,Bed of Roses,"['Drama', 'Romance']",['Michael Goldenberg'],"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon']",Romantic drama about a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.,6.1
75,Big Bully,"['Comedy', 'Thriller']",['Steve Miner'],"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips']","A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",4.8
76,Screamers,"['Horror', 'Sci-Fi', 'Thriller']",['Christian Duguay'],"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin']","A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained s...",6.3
77,Nico Icon,"['Documentary', 'Biography', 'Music']",['Susanne Ofteringer'],"['Nico', 'Tina Aumont', 'Christian Päffgen']","A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same ...",7.2
78,The Crossing Guard,"['Drama', 'Thriller']",['Sean Penn'],"['Jack Nicholson', 'David Morse', 'Anjelica Huston']",Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,6.3
79,The Juror,"['Crime', 'Drama', 'Thriller']",['Brian Gibson'],"['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']",A juror in a Mafia trial is forced by a compulsive mob enforcer to convince the other jurors to vote not guilty.,5.7
80,The White Balloon,"['Drama', 'Family']",['Jafar Panahi'],"['Aida Mohammadkhani', 'Mohsen Kafili', 'Fereshteh Sadre Orafaiy']",Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,7.6
81,Things to Do in Denver When You're Dead,"['Crime', 'Drama', 'Thriller']",['Gary Fleder'],"['Andy Garcia', 'Christopher Walken', 'Christopher Lloyd']",Five different criminals face imminent death after botching a job quite badly.,6.7
82,Antonia's Line,"['Comedy', 'Drama']",['Marleen Gorris'],"['Willeke van Ammelrooy', 'Jan Decleir', 'Veerle van Overloop']","A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",7.4
83,Once Upon a Time... When We Were Colored,"['Drama', 'Romance']",['Tim Reid'],"['Al Freeman Jr.', 'Phylicia Rashad', 'Leon']",A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,7.4
85,Angels and Insects,"['Drama', 'Romance']",['Philip Haas'],"['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit']",In the 1800s a naturalist marries into a family of British country gentry.,6.8
86,White Squall,"['Adventure', 'Drama']",['Ridley Scott'],"['Jeff Bridges', 'Caroline Goodall', 'John Savage']",Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,6.6
87,Dunston Checks In,"['Adventure', 'Comedy', 'Family']",['Ken Kwapis'],"['Jason Alexander', 'Faye Dunaway', 'Eric Lloyd']",A young boy befriends a larcenous orangutan in a luxury hotel.,5.4
88,Black Sheep,['Comedy'],['Penelope Spheeris'],"['Chris Farley', 'David Spade', 'Tim Matheson']",A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,6.2
89,Nick of Time,"['Action', 'Crime', 'Drama']",['John Badham'],"['Johnny Depp', 'Christopher Walken', 'Courtney Chase']","An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",6.3
92,Mary Reilly,"['Drama', 'Horror', 'Romance']",['Stephen Frears'],"['Julia Roberts', 'John Malkovich', 'George Cole']","A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde.",5.8
93,Vampire in Brooklyn,"['Comedy', 'Fantasy', 'Horror']",['Wes Craven'],"['Eddie Murphy', 'Angela Bassett', 'Allen Payne']",A Caribbean vampire seduces a Brooklyn police officer who has no idea that she is half-vampire.,4.7
94,Beautiful Girls,"['Comedy', 'Drama', 'Romance']",['Ted Demme'],"['Matt Dillon', 'Timothy Hutton', 'Noah Emmerich']",A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,7.1
95,Broken Arrow,"['Action', 'Adventure', 'Thriller']",['John Woo'],"['John Travolta', 'Christian Slater', 'Samantha Mathis']",Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,6.1
96,A Midwinter's Tale,['Comedy'],['Kenneth Branagh'],"['Michael Maloney', 'Richard Briers', 'Hetta Charnley']","A group of theatre actors plays ""Hamlet"" in a provincial village, faced with their own temptations, disappointments, and joys.",7.2
97,La haine,"['Crime', 'Drama']",['Mathieu Kassovitz'],"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,8.1
99,Heidi Fleiss: Hollywood Madam,"['Documentary', 'Biography']",['Nick Broomfield'],"['Nick Broomfield', 'Nina Xining Zuo', 'Madam Alex']","A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone w...",6.6
100,City Hall,"['Crime', 'Drama', 'Mystery']",['Harold Becker'],"['Al Pacino', 'John Cusack', 'Bridget Fonda']","The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",6.2
101,Bottle Rocket,"['Comedy', 'Crime', 'Drama']",['Wes Anderson'],"['Luke Wilson', 'Owen Wilson', 'Ned Dowd']",Three friends plan to pull off a simple robbery and go on the run.,6.9
102,Mr. Wrong,['Comedy'],['Nick Castle'],"['Ellen DeGeneres', 'Bill Pullman', 'Joan Cusack']","A lonely single woman finds the seemingly-perfect man to date, but soon regrets it when his deranged, possessive other personality emerges and she cannot convince anyone else of his Jekyll-and-Hyde true nature.",3.8
103,Unforgettable,"['Drama', 'Mystery', 'Sci-Fi']",['John Dahl'],"['Ray Liotta', 'Linda Fiorentino', 'Peter Coyote']",A Seattle medical examiner uses an experimental memory transference drug to unravel the mystery surrounding his wife's brutal murder.,6.0
104,Happy Gilmore,"['Comedy', 'Sport']",['Dennis Dugan'],"['Adam Sandler', 'Christopher McDonald', 'Julie Bowen']","After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.",7.0
105,The Bridges of Madison County,"['Drama', 'Romance']",['Clint Eastwood'],"['Clint Eastwood', 'Meryl Streep', 'Annie Corley']",Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,7.6
106,Nobody Loves Me,"['Comedy', 'Drama']",['Doris Dörrie'],"['Maria Schrader', 'Pierre Sanoussi-Bliss', 'Michael von Au']","On the brink of her 30th birthday, Fanny feels the door to marital happiness closing on her. She is obsessed with death and even visits evening classes on dying, so it seems fitting that she encounters a skeleton in the malfunctio...",7.2
107,Muppet Treasure Island,"['Action', 'Adventure', 'Comedy']",['Brian Henson'],"['Tim Curry', 'Billy Connolly', 'Jennifer Saunders']","The Muppets set sail in search of treasure, with Jim Hawkins and Long John Silver.",6.9
108,Catwalk,['Documentary'],['Robert Leacock'],"['Christy Turlington', 'Azzedine Alaïa', 'Giorgio Armani']","A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York in 1994. She and others dash from one designer's unveilings to another. Extended footage looks at Versace and Armani in Milan...",7.1
110,Braveheart,"['Biography', 'Drama', 'War']",['Mel Gibson'],"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,8.3
111,Taxi Driver,"['Crime', 'Drama']",['Martin Scorsese'],"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",8.2
112,Rumble in the Bronx,"['Action', 'Comedy', 'Crime']",['Stanley Tong'],"['Jackie Chan', 'Anita Mui', 'Françoise Yip']",A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,6.8
